student_id,semester,program,gender,race_ethnicity,first_generation,year,college,pre_confidence,pre_skill_readiness,pre_engagement,post_confidence,post_skill_readiness,post_engagement,sessions_attended,total_sessions,attendance_rate,persisted,secured_internship_job,gpa_change,open_response
1001,Fall 2022,Leadership Development,Male,Black/African American,True,Freshman,Education,1,4,1,1,5,1,4,12,0.33,False,False,0.08,The resources were helpful but hard to find sometimes.
1003,Spring 2024,Leadership Development,Female,Black/African American,False,Junior,Liberal Arts,2,2,3,2,3,3,5,12,0.42,False,False,0.09,The program was okay but I wish there were more flexible scheduling options.
1004,Spring 2024,Experiential Learning,Non-binary,Other,False,Sophomore,Engineering,1,2,3,3,4,5,8,12,0.67,True,False,0.08,I developed stronger communication and leadership skills.
1007,Spring 2023,Leadership Development,Female,Multiracial,True,Sophomore,Business,4,4,3,5,5,5,1,12,0.08,False,True,-0.19,I developed stronger communication and leadership skills.
1011,Fall 2023,Experiential Learning,Male,Multiracial,False,Sophomore,Sciences,4,4,2,5,5,3,10,12,0.83,True,True,0.19,I developed stronger communication and leadership skills.
1013,Spring 2023,Community Engagement,Female,Asian,True,Sophomore,Business,4,1,4,5,2,5,1,12,0.08,False,False,-0.15,The program connected me with peers who share my interests.
1016,Fall 2022,Leadership Development,Prefer not to say,Black/African American,False,Freshman,Liberal Arts,2,1,3,3,2,4,3,12,0.25,False,False,0.11,The workshops helped me build real-world skills I can use immediately.
1021,Fall 2023,Community Engagement,Female,Asian,False,Junior,Business,1,2,1,1,2,2,3,12,0.25,False,True,-0.01,The program felt disconnected from my major.
1023,Fall 2023,Community Engagement,Male,Multiracial,True,Junior,Sciences,3,4,4,3,5,5,4,12,0.33,False,False,-0.2,The workshops helped me build real-world skills I can use immediately.
1025,Fall 2022,Experiential Learning,Non-binary,Asian,True,Junior,Sciences,2,2,4,3,3,4,11,12,0.92,True,True,0.11,I appreciated the structured feedback from program advisors.
1026,Fall 2022,Experiential Learning,Prefer not to say,Other,False,Freshman,Business,2,2,4,2,3,5,2,12,0.17,False,False,0.14,I felt more confident after completing the program milestones.
1027,Fall 2024,Experiential Learning,Female,Black/African American,True,Senior,Sciences,4,2,4,5,3,5,8,12,0.67,True,True,0.25,I appreciated the structured feedback from program advisors.
1029,Spring 2023,Leadership Development,Male,Asian,True,Junior,Engineering,1,4,2,1,5,2,2,12,0.17,False,False,-0.11,The program was okay but I wish there were more flexible scheduling options.
1034,Spring 2023,Experiential Learning,Female,White,False,Junior,Business,3,2,3,4,3,4,2,12,0.17,False,True,0.05,I felt more confident after completing the program milestones.
1035,Fall 2024,Career Readiness,Non-binary,Black/African American,False,Freshman,Business,3,3,2,4,4,4,11,12,0.92,True,True,0.23,The program connected me with peers who share my interests.
1036,Spring 2023,Leadership Development,Female,Asian,True,Junior,Liberal Arts,2,3,2,4,4,3,1,12,0.08,False,True,-0.03,The program connected me with peers who share my interests.
1037,Fall 2022,Leadership Development,Male,Other,False,Sophomore,Sciences,4,1,1,5,2,2,6,12,0.5,True,False,-0.03,Some sessions were more useful than others.
1038,Fall 2023,Leadership Development,Female,Hispanic/Latino,True,Sophomore,Engineering,3,4,2,4,5,4,3,12,0.25,False,False,-0.19,I developed stronger communication and leadership skills.
1042,Spring 2023,Leadership Development,Male,Other,True,Senior,Engineering,4,2,2,5,3,4,4,12,0.33,False,True,0.06,The hands-on projects gave me practical experience beyond coursework.
1045,Fall 2023,Experiential Learning,Non-binary,Hispanic/Latino,False,Junior,Engineering,1,3,2,2,4,3,6,12,0.5,True,False,0.06,Some sessions were more useful than others.
1050,Fall 2022,Community Engagement,Male,Hispanic/Latino,True,Senior,Engineering,2,3,4,3,3,4,2,12,0.17,False,False,-0.08,The program connected me with peers who share my interests.
1054,Fall 2023,Community Engagement,Non-binary,Multiracial,True,Sophomore,Sciences,4,2,3,5,3,4,10,12,0.83,True,False,0.06,I appreciated the structured feedback from program advisors.
1058,Spring 2023,Community Engagement,Male,Other,True,Junior,Education,3,1,2,4,2,3,4,12,0.33,False,False,0.04,I felt more confident after completing the program milestones.
1062,Spring 2024,Career Readiness,Prefer not to say,White,False,Sophomore,Business,1,1,4,2,2,5,9,12,0.75,True,True,0.32,I appreciated the structured feedback from program advisors.
1064,Spring 2024,Leadership Development,Prefer not to say,Multiracial,False,Senior,Business,4,4,3,5,5,5,8,12,0.67,True,False,0.04,I felt more confident after completing the program milestones.
1067,Spring 2023,Leadership Development,Non-binary,Hispanic/Latino,True,Sophomore,Business,2,4,2,3,5,3,7,12,0.58,True,True,0.32,The hands-on projects gave me practical experience beyond coursework.
1072,Fall 2022,Community Engagement,Prefer not to say,Asian,False,Junior,Sciences,4,2,4,5,2,5,11,12,0.92,True,False,0.26,I appreciated the structured feedback from program advisors.
1074,Fall 2024,Experiential Learning,Prefer not to say,Multiracial,True,Freshman,Sciences,2,4,2,2,4,2,7,12,0.58,True,True,0.38,The resources were helpful but hard to find sometimes.
1077,Fall 2022,Community Engagement,Female,Other,True,Junior,Business,1,1,1,2,2,2,3,12,0.25,False,False,-0.15,Some sessions were more useful than others.
1081,Fall 2023,Leadership Development,Male,Multiracial,True,Sophomore,Liberal Arts,1,1,3,2,2,5,4,12,0.33,False,True,0.08,I learned how to network effectively and landed an internship.
1082,Fall 2023,Experiential Learning,Female,Hispanic/Latino,False,Junior,Engineering,3,1,4,4,3,5,8,12,0.67,True,False,0.12,The program connected me with peers who share my interests.
1087,Fall 2024,Community Engagement,Prefer not to say,White,False,Junior,Business,1,3,4,2,4,5,1,12,0.08,False,False,-0.07,I appreciated the structured feedback from program advisors.
1089,Fall 2023,Leadership Development,Non-binary,Hispanic/Latino,False,Freshman,Education,2,1,2,3,3,4,11,12,0.92,True,False,0.12,The workshops helped me build real-world skills I can use immediately.
1090,Fall 2023,Career Readiness,Prefer not to say,Other,True,Junior,Education,3,4,3,4,5,4,5,12,0.42,False,False,-0.11,I learned how to network effectively and landed an internship.
1093,Fall 2022,Career Readiness,Male,Black/African American,False,Junior,Education,3,1,2,4,2,3,3,12,0.25,False,True,0.19,The program was okay but I wish there were more flexible scheduling options.
1096,Spring 2023,Community Engagement,Female,Asian,False,Senior,Sciences,4,3,2,5,5,3,2,12,0.17,False,False,-0.17,I would have liked more one-on-one advising time.
1097,Spring 2023,Career Readiness,Non-binary,Asian,True,Freshman,Education,4,2,4,5,3,5,5,12,0.42,False,False,-0.18,I felt more confident after completing the program milestones.
1099,Spring 2023,Leadership Development,Female,Black/African American,True,Sophomore,Education,1,2,1,2,3,1,5,12,0.42,False,False,0.08,The resources were helpful but hard to find sometimes.
1100,Spring 2023,Leadership Development,Male,White,True,Sophomore,Business,3,2,1,4,3,2,5,12,0.42,False,False,-0.01,I would have liked more one-on-one advising time.
1104,Fall 2023,Community Engagement,Prefer not to say,Asian,True,Senior,Liberal Arts,3,1,1,4,2,2,1,12,0.08,False,False,0.07,I would have liked more one-on-one advising time.
1109,Fall 2022,Career Readiness,Prefer not to say,Multiracial,False,Junior,Business,4,4,1,5,5,2,3,12,0.25,False,True,0.08,I would have liked more one-on-one advising time.
1113,Fall 2024,Experiential Learning,Prefer not to say,Asian,False,Junior,Liberal Arts,1,4,1,2,5,2,6,12,0.5,True,False,0.15,The resources were helpful but hard to find sometimes.
1114,Spring 2023,Leadership Development,Male,Hispanic/Latino,False,Senior,Engineering,1,2,2,1,3,3,2,12,0.17,False,False,-0.15,The mentorship component was incredibly valuable for my career path.
1118,Fall 2023,Leadership Development,Prefer not to say,White,False,Sophomore,Sciences,2,4,2,4,5,4,5,12,0.42,False,False,0.14,I developed stronger communication and leadership skills.
1123,Fall 2023,Experiential Learning,Non-binary,Other,False,Senior,Business,4,4,3,5,5,4,4,12,0.33,False,False,-0.1,The hands-on projects gave me practical experience beyond coursework.
1125,Spring 2024,Experiential Learning,Non-binary,Other,False,Senior,Sciences,2,4,1,3,5,1,8,12,0.67,True,True,0.36,The program was okay but I wish there were more flexible scheduling options.
1127,Spring 2024,Career Readiness,Female,White,False,Junior,Education,4,1,3,5,2,4,12,12,1.0,True,False,0.14,The workshops helped me build real-world skills I can use immediately.
1132,Fall 2022,Career Readiness,Non-binary,Black/African American,True,Senior,Engineering,1,4,2,3,5,4,5,12,0.42,False,False,-0.03,I learned how to network effectively and landed an internship.
1137,Spring 2024,Career Readiness,Male,Black/African American,True,Senior,Education,2,4,2,3,5,3,8,12,0.67,True,False,0.24,The mentorship component was incredibly valuable for my career path.
1138,Spring 2024,Leadership Development,Non-binary,Other,False,Junior,Sciences,3,2,4,4,3,5,5,12,0.42,False,False,-0.08,The hands-on projects gave me practical experience beyond coursework.
1141,Fall 2022,Experiential Learning,Prefer not to say,Hispanic/Latino,True,Junior,Business,2,3,2,3,4,3,8,12,0.67,True,True,0.08,The mentorship component was incredibly valuable for my career path.
1142,Fall 2023,Leadership Development,Prefer not to say,Black/African American,True,Sophomore,Education,3,3,2,4,4,3,12,12,1.0,True,False,0.3,I appreciated the structured feedback from program advisors.
1143,Spring 2023,Career Readiness,Prefer not to say,Multiracial,False,Freshman,Sciences,1,3,1,2,4,2,11,12,0.92,True,False,-0.05,Some sessions were more useful than others.
1147,Fall 2022,Leadership Development,Male,Other,True,Senior,Liberal Arts,4,1,2,4,2,2,4,12,0.33,False,False,-0.15,The resources were helpful but hard to find sometimes.
1150,Fall 2024,Community Engagement,Male,White,True,Senior,Education,4,3,1,5,4,2,6,12,0.5,True,True,0.24,The program felt disconnected from my major.
1153,Fall 2022,Community Engagement,Non-binary,Black/African American,True,Senior,Engineering,2,1,1,3,2,2,2,12,0.17,False,False,0.02,The program felt disconnected from my major.
1155,Spring 2023,Leadership Development,Male,Multiracial,True,Junior,Business,2,3,2,3,3,2,4,12,0.33,False,False,-0.19,I would have liked more one-on-one advising time.
1156,Spring 2023,Community Engagement,Female,Other,True,Senior,Sciences,3,1,4,4,2,5,11,12,0.92,True,False,0.13,The workshops helped me build real-world skills I can use immediately.
1157,Spring 2024,Community Engagement,Prefer not to say,Other,True,Senior,Sciences,1,1,3,2,2,4,9,12,0.75,True,False,0.09,The program connected me with peers who share my interests.
1161,Fall 2024,Community Engagement,Female,Other,True,Sophomore,Sciences,4,2,4,5,3,4,7,12,0.58,True,True,0.03,The mentorship component was incredibly valuable for my career path.
1165,Fall 2022,Experiential Learning,Female,Asian,False,Freshman,Liberal Arts,2,1,3,3,3,5,7,12,0.58,True,False,0.26,The program connected me with peers who share my interests.
1170,Fall 2023,Leadership Development,Female,Multiracial,True,Sophomore,Sciences,2,1,3,3,3,5,7,12,0.58,True,False,0.39,The workshops helped me build real-world skills I can use immediately.
1175,Fall 2023,Experiential Learning,Male,Hispanic/Latino,False,Junior,Liberal Arts,1,2,2,2,3,3,1,12,0.08,False,True,0.01,The hands-on projects gave me practical experience beyond coursework.
1179,Spring 2024,Leadership Development,Male,Hispanic/Latino,False,Junior,Education,1,1,2,2,2,2,11,12,0.92,True,True,0.2,The resources were helpful but hard to find sometimes.
1182,Spring 2023,Experiential Learning,Non-binary,White,True,Junior,Education,4,3,1,5,3,1,4,12,0.33,False,False,0.11,I would have liked more one-on-one advising time.
1185,Fall 2022,Experiential Learning,Prefer not to say,Other,False,Sophomore,Business,4,2,3,5,2,3,2,12,0.17,False,False,0.03,Some sessions were more useful than others.
1189,Spring 2024,Leadership Development,Female,White,True,Junior,Business,4,3,1,5,4,2,2,12,0.17,False,True,-0.08,I would have liked more one-on-one advising time.
1191,Fall 2023,Career Readiness,Female,Multiracial,True,Sophomore,Liberal Arts,3,2,2,3,2,2,11,12,0.92,True,True,0.38,Scheduling conflicts made it hard to participate fully.
1195,Spring 2024,Community Engagement,Non-binary,Other,False,Sophomore,Sciences,1,4,4,2,5,5,2,12,0.17,False,False,-0.02,The workshops helped me build real-world skills I can use immediately.
1198,Fall 2023,Experiential Learning,Female,Multiracial,False,Senior,Education,1,4,2,2,5,2,2,12,0.17,False,False,0.13,Scheduling conflicts made it hard to participate fully.
1199,Fall 2024,Career Readiness,Female,Black/African American,False,Senior,Education,2,3,3,3,5,5,1,12,0.08,False,False,0.06,I felt more confident after completing the program milestones.
1202,Fall 2022,Community Engagement,Non-binary,Hispanic/Latino,True,Junior,Engineering,2,3,3,4,5,5,2,12,0.17,False,False,-0.05,I developed stronger communication and leadership skills.
1204,Fall 2024,Experiential Learning,Prefer not to say,Multiracial,False,Freshman,Liberal Arts,3,2,2,4,3,3,3,12,0.25,False,True,0.14,I felt more confident after completing the program milestones.
1209,Fall 2024,Experiential Learning,Non-binary,Multiracial,True,Senior,Business,2,2,2,3,3,4,8,12,0.67,True,False,0.28,I appreciated the structured feedback from program advisors.
1211,Fall 2024,Career Readiness,Non-binary,White,True,Junior,Education,4,4,3,5,5,4,4,12,0.33,False,False,-0.14,The program connected me with peers who share my interests.
1212,Spring 2024,Leadership Development,Female,Other,True,Junior,Engineering,2,3,4,3,5,5,4,12,0.33,False,False,0.15,The workshops helped me build real-world skills I can use immediately.
1216,Fall 2022,Community Engagement,Non-binary,Black/African American,False,Freshman,Liberal Arts,2,1,3,4,3,5,3,12,0.25,False,True,0.17,I appreciated the structured feedback from program advisors.
1218,Spring 2024,Community Engagement,Female,Asian,True,Junior,Business,2,4,1,3,5,2,11,12,0.92,True,False,0.13,The program was okay but I wish there were more flexible scheduling options.
1222,Fall 2024,Experiential Learning,Male,Other,True,Junior,Sciences,1,3,2,2,4,3,6,12,0.5,True,True,0.16,The program was okay but I wish there were more flexible scheduling options.
1227,Fall 2024,Experiential Learning,Prefer not to say,White,True,Senior,Liberal Arts,3,1,3,4,3,5,10,12,0.83,True,False,0.07,The workshops helped me build real-world skills I can use immediately.
1230,Fall 2024,Leadership Development,Male,Other,False,Senior,Business,2,1,4,2,2,5,6,12,0.5,True,False,0.16,I appreciated the structured feedback from program advisors.
1233,Fall 2022,Career Readiness,Non-binary,Hispanic/Latino,True,Junior,Liberal Arts,1,3,4,3,5,5,3,12,0.25,False,False,-0.0,The program connected me with peers who share my interests.
1234,Spring 2024,Experiential Learning,Prefer not to say,Multiracial,True,Junior,Liberal Arts,1,1,3,2,2,4,12,12,1.0,True,True,0.12,I developed stronger communication and leadership skills.
1239,Spring 2024,Leadership Development,Female,Asian,False,Junior,Education,2,1,2,4,2,3,4,12,0.33,False,False,-0.05,The hands-on projects gave me practical experience beyond coursework.
1244,Fall 2022,Career Readiness,Prefer not to say,Hispanic/Latino,False,Senior,Engineering,2,3,4,3,4,4,3,12,0.25,False,False,-0.05,I felt more confident after completing the program milestones.
1247,Fall 2023,Community Engagement,Male,Multiracial,False,Senior,Business,1,2,1,2,3,2,11,12,0.92,True,False,0.39,Scheduling conflicts made it hard to participate fully.
1250,Fall 2022,Leadership Development,Non-binary,Black/African American,True,Junior,Education,2,1,2,3,2,3,10,12,0.83,True,True,0.3,The program was okay but I wish there were more flexible scheduling options.
1252,Fall 2024,Experiential Learning,Female,Hispanic/Latino,False,Senior,Education,4,4,1,4,4,2,9,12,0.75,True,True,0.34,I needed more support navigating the application process.
1257,Fall 2024,Career Readiness,Male,White,True,Freshman,Education,2,3,2,3,3,3,9,12,0.75,True,False,0.32,The program connected me with peers who share my interests.
1259,Fall 2024,Leadership Development,Male,Other,False,Freshman,Education,2,2,2,3,3,4,10,12,0.83,True,True,0.33,I felt more confident after completing the program milestones.
1260,Fall 2024,Leadership Development,Male,Multiracial,False,Freshman,Sciences,3,3,4,4,4,5,12,12,1.0,True,True,0.12,I appreciated the structured feedback from program advisors.
1264,Spring 2023,Leadership Development,Male,Hispanic/Latino,False,Junior,Sciences,2,3,1,3,4,2,2,12,0.17,False,True,0.18,I needed more support navigating the application process.
1269,Spring 2024,Career Readiness,Male,Hispanic/Latino,False,Sophomore,Business,4,4,4,5,5,5,8,12,0.67,True,False,0.01,I developed stronger communication and leadership skills.
1270,Fall 2022,Leadership Development,Prefer not to say,Multiracial,False,Junior,Education,1,1,4,1,2,5,1,12,0.08,False,False,0.03,I learned how to network effectively and landed an internship.
1273,Fall 2024,Leadership Development,Female,White,False,Junior,Education,1,2,1,2,3,2,3,12,0.25,False,True,0.0,The program felt disconnected from my major.
1274,Fall 2022,Experiential Learning,Male,Other,False,Senior,Education,4,2,2,5,3,3,12,12,1.0,True,False,0.2,The program was okay but I wish there were more flexible scheduling options.
1279,Fall 2024,Community Engagement,Non-binary,White,True,Junior,Liberal Arts,1,4,3,3,5,4,8,12,0.67,True,True,0.23,I learned how to network effectively and landed an internship.
1280,Fall 2024,Community Engagement,Male,Multiracial,False,Sophomore,Business,1,1,2,1,1,3,7,12,0.58,True,True,0.21,I appreciated the structured feedback from program advisors.
1281,Spring 2023,Career Readiness,Non-binary,Other,False,Senior,Liberal Arts,2,4,3,3,5,4,12,12,1.0,True,True,0.14,I learned how to network effectively and landed an internship.
1284,Fall 2024,Leadership Development,Male,Hispanic/Latino,False,Sophomore,Sciences,3,4,3,4,5,4,10,12,0.83,True,False,0.09,The hands-on projects gave me practical experience beyond coursework.
1287,Spring 2023,Leadership Development,Female,Hispanic/Latino,True,Junior,Sciences,3,4,2,4,5,3,3,12,0.25,False,True,0.1,I learned how to network effectively and landed an internship.
1289,Fall 2022,Career Readiness,Male,Asian,True,Senior,Liberal Arts,4,1,2,4,2,2,8,12,0.67,True,True,-0.0,I would have liked more one-on-one advising time.
1292,Fall 2023,Experiential Learning,Female,Other,True,Freshman,Business,4,2,1,5,4,3,5,12,0.42,False,False,-0.2,Some sessions were more useful than others.
1297,Fall 2022,Leadership Development,Non-binary,White,False,Sophomore,Education,4,3,2,5,5,4,12,12,1.0,True,True,0.27,The program connected me with peers who share my interests.
1302,Spring 2023,Career Readiness,Prefer not to say,White,False,Freshman,Sciences,1,2,2,2,3,3,8,12,0.67,True,False,0.38,The program connected me with peers who share my interests.
1307,Fall 2024,Experiential Learning,Non-binary,Other,False,Sophomore,Engineering,1,4,3,2,5,4,5,12,0.42,False,False,0.06,The program connected me with peers who share my interests.
1310,Fall 2024,Career Readiness,Male,Black/African American,False,Sophomore,Sciences,3,4,4,5,5,5,11,12,0.92,True,False,0.34,I felt more confident after completing the program milestones.
1315,Spring 2024,Leadership Development,Female,Multiracial,True,Freshman,Education,2,2,2,3,3,3,10,12,0.83,True,True,0.35,I appreciated the structured feedback from program advisors.
1316,Spring 2024,Career Readiness,Prefer not to say,White,True,Senior,Liberal Arts,1,4,3,3,5,4,6,12,0.5,True,False,0.17,The workshops helped me build real-world skills I can use immediately.
1317,Spring 2024,Experiential Learning,Non-binary,White,True,Sophomore,Sciences,3,4,4,5,5,5,11,12,0.92,True,False,-0.03,I developed stronger communication and leadership skills.
1318,Spring 2023,Community Engagement,Male,Other,True,Freshman,Engineering,3,4,4,4,5,5,5,12,0.42,False,True,0.15,I felt more confident after completing the program milestones.
1319,Spring 2024,Experiential Learning,Male,Black/African American,True,Freshman,Education,1,4,1,1,5,2,1,12,0.08,False,True,0.2,Some sessions were more useful than others.
1324,Fall 2023,Leadership Development,Male,Hispanic/Latino,True,Sophomore,Sciences,3,3,1,4,4,2,11,12,0.92,True,True,0.15,I would have liked more one-on-one advising time.
1328,Fall 2024,Leadership Development,Prefer not to say,White,True,Junior,Sciences,2,4,2,3,5,4,1,12,0.08,False,False,0.19,The mentorship component was incredibly valuable for my career path.
1332,Spring 2023,Leadership Development,Male,Hispanic/Latino,True,Senior,Liberal Arts,1,2,1,2,3,2,4,12,0.33,False,False,0.04,Scheduling conflicts made it hard to participate fully.
1337,Spring 2023,Community Engagement,Male,Hispanic/Latino,False,Freshman,Business,2,1,4,4,3,5,4,12,0.33,False,False,0.11,The hands-on projects gave me practical experience beyond coursework.
1341,Fall 2024,Leadership Development,Non-binary,Hispanic/Latino,False,Senior,Sciences,1,4,3,2,5,5,4,12,0.33,False,False,-0.19,The hands-on projects gave me practical experience beyond coursework.
1344,Spring 2023,Career Readiness,Non-binary,Black/African American,False,Sophomore,Sciences,3,3,4,5,5,5,6,12,0.5,True,True,0.26,I appreciated the structured feedback from program advisors.
1346,Fall 2024,Experiential Learning,Female,Asian,True,Freshman,Sciences,2,2,1,3,3,2,10,12,0.83,True,False,0.37,The resources were helpful but hard to find sometimes.
1350,Fall 2022,Experiential Learning,Prefer not to say,Asian,True,Junior,Education,3,1,4,5,2,5,3,12,0.25,False,True,0.05,The program connected me with peers who share my interests.
1353,Fall 2023,Community Engagement,Female,Hispanic/Latino,False,Senior,Education,2,2,3,3,3,5,1,12,0.08,False,True,-0.05,I appreciated the structured feedback from program advisors.
1354,Fall 2022,Career Readiness,Female,White,False,Junior,Education,1,1,2,2,2,3,1,12,0.08,False,False,0.07,The program connected me with peers who share my interests.
1359,Fall 2024,Experiential Learning,Male,Hispanic/Latino,True,Sophomore,Education,2,4,1,3,5,2,11,12,0.92,True,False,0.07,I needed more support navigating the application process.
1361,Fall 2022,Leadership Development,Female,Asian,False,Sophomore,Engineering,3,4,3,3,5,3,6,12,0.5,True,False,0.09,The mentorship component was incredibly valuable for my career path.
1366,Spring 2024,Experiential Learning,Non-binary,Black/African American,True,Freshman,Liberal Arts,2,4,2,3,5,3,5,12,0.42,False,False,0.1,I felt more confident after completing the program milestones.
1368,Fall 2022,Career Readiness,Prefer not to say,White,False,Freshman,Engineering,1,3,1,2,5,2,7,12,0.58,True,True,-0.06,The program felt disconnected from my major.
1370,Fall 2024,Career Readiness,Prefer not to say,Black/African American,True,Junior,Liberal Arts,3,4,2,3,5,3,2,12,0.17,False,False,0.18,The resources were helpful but hard to find sometimes.
1374,Fall 2024,Career Readiness,Prefer not to say,Asian,True,Junior,Engineering,4,3,4,5,4,5,11,12,0.92,True,False,-0.03,I developed stronger communication and leadership skills.
1379,Spring 2023,Community Engagement,Non-binary,Black/African American,False,Junior,Liberal Arts,4,2,3,5,3,3,10,12,0.83,True,True,0.4,The mentorship component was incredibly valuable for my career path.
1384,Fall 2022,Community Engagement,Male,White,False,Freshman,Sciences,4,2,3,5,3,4,2,12,0.17,False,False,0.04,The hands-on projects gave me practical experience beyond coursework.
1389,Fall 2024,Community Engagement,Female,Hispanic/Latino,True,Freshman,Business,3,2,1,4,3,3,6,12,0.5,True,False,0.12,The workshops helped me build real-world skills I can use immediately.
1390,Fall 2023,Career Readiness,Male,White,False,Senior,Sciences,2,3,1,3,4,2,12,12,1.0,True,True,0.06,The resources were helpful but hard to find sometimes.
1392,Fall 2024,Community Engagement,Non-binary,White,True,Senior,Sciences,3,1,3,4,1,3,2,12,0.17,False,False,-0.13,The resources were helpful but hard to find sometimes.
1394,Fall 2024,Career Readiness,Male,Hispanic/Latino,False,Senior,Business,4,2,2,5,3,3,4,12,0.33,False,False,-0.03,The workshops helped me build real-world skills I can use immediately.
1396,Spring 2023,Leadership Development,Female,Multiracial,True,Sophomore,Liberal Arts,3,2,4,4,3,5,6,12,0.5,True,False,0.21,I felt more confident after completing the program milestones.
1399,Fall 2023,Community Engagement,Male,Other,False,Freshman,Business,3,1,2,4,2,3,7,12,0.58,True,True,0.19,The hands-on projects gave me practical experience beyond coursework.
1401,Spring 2024,Career Readiness,Male,White,False,Sophomore,Business,3,4,1,5,5,2,7,12,0.58,True,False,0.15,The resources were helpful but hard to find sometimes.
1405,Spring 2024,Community Engagement,Prefer not to say,White,True,Freshman,Education,1,2,3,1,2,4,10,12,0.83,True,False,0.28,I felt more confident after completing the program milestones.
1410,Fall 2022,Leadership Development,Non-binary,Multiracial,True,Senior,Education,2,4,1,3,5,3,1,12,0.08,False,False,-0.06,I felt more confident after completing the program milestones.
1414,Fall 2022,Career Readiness,Male,Other,False,Senior,Business,2,2,2,3,3,4,3,12,0.25,False,True,0.08,The program connected me with peers who share my interests.
1419,Fall 2023,Experiential Learning,Male,White,True,Junior,Business,2,2,2,4,4,3,8,12,0.67,True,True,0.22,I would have liked more one-on-one advising time.
1423,Spring 2024,Community Engagement,Female,Other,True,Senior,Education,3,3,4,4,4,5,12,12,1.0,True,True,0.39,I developed stronger communication and leadership skills.
1424,Fall 2024,Community Engagement,Male,White,True,Senior,Liberal Arts,3,3,3,4,4,4,11,12,0.92,True,False,-0.08,I appreciated the structured feedback from program advisors.
1425,Fall 2022,Career Readiness,Prefer not to say,White,True,Senior,Business,2,3,2,4,4,3,2,12,0.17,False,True,0.16,The mentorship component was incredibly valuable for my career path.
1426,Spring 2024,Leadership Development,Male,White,True,Freshman,Engineering,2,4,1,2,5,1,12,12,1.0,True,True,-0.04,I needed more support navigating the application process.
1430,Spring 2023,Community Engagement,Female,Black/African American,False,Freshman,Engineering,1,3,3,2,5,5,3,12,0.25,False,False,0.07,I felt more confident after completing the program milestones.
1435,Fall 2024,Experiential Learning,Male,White,False,Sophomore,Business,4,4,2,4,5,3,7,12,0.58,True,True,0.11,The mentorship component was incredibly valuable for my career path.
1437,Fall 2023,Experiential Learning,Male,Multiracial,False,Freshman,Liberal Arts,2,2,4,2,3,5,8,12,0.67,True,True,0.02,I felt more confident after completing the program milestones.
1442,Fall 2022,Leadership Development,Non-binary,Black/African American,False,Senior,Liberal Arts,2,4,1,2,4,1,1,12,0.08,False,False,-0.04,I would have liked more one-on-one advising time.
